Datetime,beaconid,realx,realy,edge_2,edge_3,edge_8,edge_9,edge_10,edge_11,edge_12,edge_13
2018-09-24T23:41:01.000000Z,1,8.3394,8.6346,-80.0,-86.0,-79.66666666666667,-82.5,-81.66666666666667,-83.66666666666667,-53.5,-73.0
2018-09-24T23:41:01.500000Z,1,8.3458,8.914200000000001,-81.0,-82.4,-75.6,-81.33333333333333,-70.25,-72.0,-47.666666666666664,-76.6
2018-09-24T23:41:02.000000Z,1,8.3522,9.1938,-85.0,-87.0,-77.6,-83.5,-74.75,-81.66666666666667,-52.333333333333336,-74.0
2018-09-24T23:41:02.500000Z,1,8.358600000000001,9.4734,-78.0,-79.33333333333333,-68.5,-83.66666666666667,-77.25,-79.66666666666667,-44.0,-69.33333333333333
2018-09-24T23:41:03.000000Z,1,8.7955,9.735,-79.4,-87.75,-75.66666666666667,-79.33333333333333,-75.2,-81.66666666666667,-52.0,-69.5
2018-09-24T23:41:03.500000Z,1,9.225999999999999,9.716999999999999,-76.25,-79.0,-77.25,-83.75,-69.66666666666667,-76.25,-65.2,-68.0
2018-09-24T23:41:04.000000Z,1,9.6565,9.699,-72.0,-73.33333333333333,-75.0,-75.66666666666667,-68.0,-77.8,-73.66666666666667,-66.0
2018-09-24T23:41:04.500000Z,1,10.388399999999999,9.6938,-73.33333333333333,-71.5,-78.8,-85.0,-77.66666666666667,-81.66666666666667,-74.25,-67.33333333333333
2018-09-24T23:41:05.000000Z,1,10.6898,9.7066,-76.75,-77.5,-85.33333333333333,-76.0,-79.25,-78.0,-76.66666666666667,-68.66666666666667
2018-09-24T23:41:05.500000Z,1,10.9912,9.719399999999998,-77.66666666666667,-73.0,-77.33333333333333,-82.66666666666667,-75.75,-77.75,-77.5,-69.5
2018-09-24T23:41:06.000000Z,1,11.2926,9.732199999999999,-81.6,-83.6,-77.33333333333333,-81.75,-79.75,-82.75,-75.66666666666667,-71.2
