Datetime,beaconid,realx,realy,edge_1,edge_2,edge_3,edge_8,edge_9,edge_10,edge_11,edge_12,edge_13
2018-10-17T19:53:01.000000Z,1,8.343666666666667,8.821,-83.5,-82.0,-95.0,-64.25,-87.66666666666667,-76.0,-66.0,-72.4,-79.33333333333333
2018-10-17T19:53:01.500000Z,1,8.354333333333333,9.287,-83.5,-81.0,-87.0,-63.666666666666664,-86.33333333333333,-75.0,-68.0,-77.0,-91.0
2018-10-17T19:53:02.000000Z,1,7.764,9.727,-80.0,-95.0,-97.0,-62.0,-92.33333333333333,-82.5,-65.8,-84.0,-84.33333333333333
2018-10-17T19:53:02.500000Z,1,7.163,9.701,-81.0,-95.0,-97.0,-67.75,-92.33333333333333,-78.0,-68.0,-61.0,-75.0
2018-10-17T19:53:03.000000Z,1,6.22375,9.92425,-81.0,-79.0,-86.0,-63.2,-86.0,-72.0,-66.0,-73.33333333333333,-82.5
2018-10-17T19:53:03.500000Z,1,5.8855,10.1735,-89.66666666666667,-91.5,-100.0,-59.8,-86.0,-78.33333333333333,-65.2,-73.33333333333333,-82.5
2018-10-17T19:53:04.000000Z,1,5.54725,10.42275,-89.0,-84.0,-81.5,-64.5,-86.0,-79.0,-67.66666666666667,-84.0,-85.33333333333333
2018-10-17T19:53:04.500000Z,1,4.866499999999999,10.66525,-89.0,-97.0,-91.0,-59.5,-97.0,-84.75,-80.5,-68.5,-89.66666666666667
2018-10-17T19:53:05.000000Z,1,4.524,10.6585,-72.0,-83.0,-91.0,-52.5,-89.0,-79.0,-71.66666666666667,-82.5,-91.0
2018-10-17T19:53:05.500000Z,1,4.1815,10.65175,-96.0,-77.5,-81.5,-56.25,-85.0,-82.0,-61.666666666666664,-87.0,-77.0
2018-10-17T19:53:06.000000Z,1,3.3646666666666665,10.666666666666666,-88.5,-77.5,-81.5,-58.666666666666664,-85.0,-82.0,-57.333333333333336,-69.0,-77.5
2018-10-17T19:53:06.500000Z,1,2.8903333333333334,10.688333333333334,-88.5,-77.5,-87.5,-51.0,-85.0,-85.5,-62.0,-66.0,-77.66666666666667
2018-10-17T19:53:07.000000Z,1,2.4175999999999997,10.3732,-88.5,-80.5,-85.66666666666667,-51.0,-85.0,-81.5,-69.66666666666667,-74.75,-73.5
2018-10-17T19:53:07.500000Z,1,2.4192,10.0364,-88.5,-80.5,-85.66666666666667,-49.0,-80.0,-82.66666666666667,-71.75,-71.0,-86.5
2018-10-17T19:53:08.000000Z,1,2.4208,9.6996,-88.5,-80.5,-85.66666666666667,-54.25,-85.5,-76.0,-78.5,-80.0,-86.5
2018-10-17T19:53:08.500000Z,1,2.4224,9.3628,-86.5,-84.0,-81.0,-54.4,-82.0,-77.0,-76.5,-67.75,-82.5
2018-10-17T19:53:09.000000Z,1,2.154,9.3566,-81.0,-98.0,-81.0,-58.0,-80.0,-87.0,-80.0,-77.8,-83.0
2018-10-17T19:53:09.500000Z,1,1.884,9.6872,-96.0,-96.0,-80.0,-49.666666666666664,-90.0,-86.33333333333333,-72.66666666666667,-71.5,-80.33333333333333
2018-10-17T19:53:10.000000Z,1,1.614,10.0178,-96.0,-96.0,-81.0,-43.0,-83.0,-80.0,-73.66666666666667,-69.66666666666667,-83.0
2018-10-17T19:53:10.500000Z,1,1.344,10.3484,-77.5,-78.0,-81.0,-48.0,-83.0,-80.0,-65.0,-85.5,-84.0
2018-10-17T19:53:11.000000Z,1,0.9988333333333334,10.371500000000001,-77.5,-78.0,-88.5,-59.333333333333336,-80.0,-78.0,-60.333333333333336,-68.75,-88.0
2018-10-17T19:53:11.500000Z,1,0.9236666666666667,10.064,-83.0,-78.0,-87.0,-67.75,-92.0,-82.0,-57.25,-74.5,-87.25
2018-10-17T19:53:12.000000Z,1,0.8485,9.756499999999999,-83.0,-78.0,-89.0,-58.5,-92.0,-87.0,-64.0,-63.5,-76.0
2018-10-17T19:53:12.500000Z,1,0.7733333333333334,9.449,-83.0,-78.0,-82.5,-66.5,-80.0,-81.0,-57.0,-74.25,-76.5
2018-10-17T19:53:13.000000Z,1,0.6981666666666667,9.1415,-85.33333333333333,-78.0,-90.0,-79.5,-90.0,-79.5,-62.5,-74.25,-81.0
2018-10-17T19:53:13.500000Z,1,0.61575,8.34225,-92.0,-85.0,-96.0,-65.0,-90.0,-73.0,-61.5,-84.0,-74.0
2018-10-17T19:53:14.000000Z,1,0.6085,7.8505,-92.0,-98.0,-85.5,-78.0,-76.0,-82.5,-56.666666666666664,-84.0,-87.0
2018-10-17T19:53:14.500000Z,1,0.60125,7.35875,-92.0,-95.0,-90.0,-68.0,-88.0,-91.0,-57.333333333333336,-75.33333333333333,-79.0
2018-10-17T19:53:15.000000Z,1,0.5805,6.44425,-86.5,-90.0,-91.5,-70.5,-83.66666666666667,-77.25,-60.75,-81.5,-79.0
2018-10-17T19:53:15.500000Z,1,0.567,6.0215,-76.5,-85.0,-86.5,-68.66666666666667,-82.66666666666667,-73.66666666666667,-48.666666666666664,-80.5,-79.0
2018-10-17T19:53:16.000000Z,1,0.5535,5.59875,-82.5,-87.5,-90.5,-70.25,-80.5,-86.0,-57.666666666666664,-71.66666666666667,-74.0
2018-10-17T19:53:16.500000Z,1,0.54025,4.7635000000000005,-82.5,-82.0,-74.0,-70.25,-74.33333333333333,-75.66666666666667,-48.0,-71.66666666666667,-77.0
2018-10-17T19:53:17.000000Z,1,0.5405,4.351,-78.8,-84.0,-82.5,-73.66666666666667,-75.5,-75.6,-58.333333333333336,-69.0,-80.0
2018-10-17T19:53:17.500000Z,1,0.5407500000000001,3.9385,-77.5,-80.75,-74.0,-83.0,-78.5,-74.33333333333333,-60.25,-69.33333333333333,-78.5
2018-10-17T19:53:18.000000Z,1,0.8260000000000001,3.52575,-77.5,-75.33333333333333,-77.0,-75.0,-72.0,-74.0,-62.5,-74.25,-69.66666666666667
2018-10-17T19:53:18.500000Z,1,1.1110000000000002,3.5255,-66.0,-81.0,-85.66666666666667,-77.0,-79.0,-77.66666666666667,-69.0,-68.33333333333333,-78.75
2018-10-17T19:53:19.000000Z,1,1.3960000000000001,3.5252499999999998,-70.5,-87.75,-78.75,-78.5,-83.0,-63.0,-61.5,-70.5,-75.33333333333333
2018-10-17T19:53:19.500000Z,1,2.1253333333333333,3.538,-78.5,-90.0,-85.33333333333333,-71.0,-76.33333333333333,-66.75,-63.75,-67.25,-80.66666666666667
2018-10-17T19:53:20.000000Z,1,2.5696666666666665,3.551,-87.0,-77.0,-80.0,-69.66666666666667,-71.5,-78.66666666666667,-68.0,-59.666666666666664,-79.66666666666667
2018-10-17T19:53:20.500000Z,1,3.3689999999999998,3.8256,-76.0,-81.5,-86.0,-68.33333333333333,-79.0,-69.5,-69.66666666666667,-68.33333333333333,-69.33333333333333
2018-10-17T19:53:21.000000Z,1,3.7239999999999998,4.0872,-75.66666666666667,-85.0,-85.66666666666667,-71.75,-77.0,-74.25,-73.5,-71.66666666666667,-68.66666666666667
2018-10-17T19:53:21.500000Z,1,4.079,4.3488,-82.5,-85.0,-81.66666666666667,-62.0,-81.5,-72.4,-58.333333333333336,-71.0,-74.66666666666667
2018-10-17T19:53:22.000000Z,1,4.433999999999999,4.6104,-81.66666666666667,-79.0,-92.5,-71.75,-85.5,-67.0,-60.0,-66.4,-79.25
2018-10-17T19:53:22.500000Z,1,5.0283999999999995,4.6164,-79.0,-87.33333333333333,-82.0,-71.66666666666667,-87.0,-68.25,-69.2,-74.66666666666667,-73.75
2018-10-17T19:53:23.000000Z,1,5.267799999999999,4.3608,-79.66666666666667,-82.0,-77.0,-77.25,-84.0,-67.5,-73.25,-60.666666666666664,-71.0
2018-10-17T19:53:23.500000Z,1,5.507199999999999,4.1052,-79.66666666666667,-80.25,-76.33333333333333,-73.25,-74.6,-59.6,-74.5,-62.0,-68.33333333333333
2018-10-17T19:53:24.000000Z,1,5.7466,3.8495999999999997,-75.0,-86.0,-78.5,-80.66666666666667,-79.0,-61.333333333333336,-68.2,-73.33333333333333,-68.75
2018-10-17T19:53:24.500000Z,1,6.255,3.4441666666666664,-62.0,-75.33333333333333,-73.0,-78.5,-69.33333333333333,-57.0,-74.75,-67.0,-77.5
2018-10-17T19:53:25.000000Z,1,6.524,3.2943333333333333,-77.0,-82.5,-75.0,-77.5,-83.6,-63.5,-75.66666666666667,-72.0,-74.0
2018-10-17T19:53:25.500000Z,1,6.792999999999999,3.1445,-73.25,-74.0,-74.5,-73.5,-89.0,-64.33333333333333,-78.75,-73.0,-66.0
2018-10-17T19:53:26.000000Z,1,7.061999999999999,2.9946666666666664,-73.25,-89.0,-74.66666666666667,-77.75,-76.66666666666667,-58.0,-76.75,-67.33333333333333,-69.0
2018-10-17T19:53:26.500000Z,1,7.3309999999999995,2.844833333333333,-71.33333333333333,-76.0,-72.0,-77.66666666666667,-62.5,-78.0,-77.0,-72.0,-66.25
2018-10-17T19:53:27.000000Z,1,7.907,2.760333333333333,-77.5,-80.33333333333333,-68.33333333333333,-73.66666666666667,-68.75,-65.0,-82.66666666666667,-69.0,-62.0
2018-10-17T19:53:27.500000Z,1,8.214,2.8256666666666668,-74.0,-74.0,-77.75,-73.66666666666667,-62.5,-66.0,-75.0,-65.0,-73.0
2018-10-17T19:53:28.000000Z,1,8.521,2.891,-71.5,-72.0,-82.0,-77.66666666666667,-64.75,-66.5,-94.0,-74.5,-81.0
2018-10-17T19:53:28.500000Z,1,8.828,2.9563333333333333,-77.66666666666667,-80.33333333333333,-74.5,-77.25,-64.6,-64.0,-77.75,-72.0,-65.25
2018-10-17T19:53:29.000000Z,1,9.135,3.021666666666667,-82.0,-77.0,-66.0,-68.0,-64.5,-51.0,-83.0,-75.0,-62.0
