Datetime,beaconid,realx,realy,edge_50,edge_51,edge_53,edge_54,edge_55,edge_56,edge_58
2019-03-22T17:09:39.500000Z,3,3.0881250000000002,6.69825,-82.0,-71.0,-78.0,-80.5,-86.0,-82.0,-81.5
2019-03-22T17:09:40.000000Z,3,2.9602500000000003,6.7045,-78.0,-83.5,-77.5,-82.0,-81.66666666666667,-77.0,-86.0
2019-03-22T17:09:40.500000Z,3,2.8323750000000003,6.71075,-67.5,-74.33333333333333,-79.66666666666667,-98.0,-94.0,-77.0,-73.5
2019-03-22T17:09:41.000000Z,3,2.7045000000000003,6.7170000000000005,-63.333333333333336,-76.0,-87.0,-78.0,-94.0,-86.0,-90.0
2019-03-22T17:09:41.500000Z,3,2.576625,6.72325,-63.333333333333336,-87.0,-77.75,-77.0,-89.0,-84.0,-77.75
2019-03-22T17:09:42.000000Z,3,2.44875,6.7295,-66.25,-73.0,-82.0,-96.0,-83.33333333333333,-85.0,-70.5
2019-03-22T17:09:42.500000Z,3,2.320875,6.73575,-60.75,-78.66666666666667,-73.5,-79.0,-75.0,-80.5,-73.5
2019-03-22T17:09:43.000000Z,3,2.071375,6.73325,-57.0,-70.0,-85.0,-91.5,-75.0,-80.5,-74.0
2019-03-22T17:09:43.500000Z,3,1.94975,6.7245,-75.0,-74.0,-78.0,-83.0,-83.0,-76.0,-83.33333333333333
2019-03-22T17:09:44.000000Z,3,1.828125,6.71575,-66.5,-83.0,-78.0,-83.5,-79.66666666666667,-78.5,-76.5
2019-03-22T17:09:44.500000Z,3,1.7065000000000001,6.707,-59.333333333333336,-77.0,-86.5,-71.0,-75.0,-80.0,-73.0
2019-03-22T17:09:45.000000Z,3,1.584875,6.69825,-76.0,-69.0,-69.0,-71.0,-87.5,-81.5,-85.0
2019-03-22T17:09:45.500000Z,3,1.46325,6.6895,-70.5,-75.0,-70.33333333333333,-80.0,-80.5,-81.5,-80.0
2019-03-22T17:09:46.000000Z,3,1.341625,6.68075,-60.0,-75.0,-69.66666666666667,-80.0,-80.5,-81.5,-85.0
2019-03-22T17:09:46.500000Z,3,1.2158333333333333,6.548833333333333,-56.333333333333336,-74.75,-80.0,-77.0,-71.33333333333333,-77.33333333333333,-80.33333333333333
2019-03-22T17:09:47.000000Z,3,1.2116666666666667,6.425666666666666,-58.5,-71.66666666666667,-71.0,-83.0,-74.75,-75.0,-73.66666666666667
2019-03-22T17:09:47.500000Z,3,1.2075,6.3025,-52.0,-73.66666666666667,-71.33333333333333,-83.0,-81.0,-80.33333333333333,-79.0
2019-03-22T17:09:48.000000Z,3,1.2033333333333334,6.179333333333333,-64.75,-71.75,-80.0,-85.5,-82.33333333333333,-82.0,-65.66666666666667
2019-03-22T17:09:48.500000Z,3,1.1991666666666667,6.056166666666666,-68.0,-63.333333333333336,-70.75,-66.0,-73.0,-82.5,-73.0
